"","lam1_7","lam1_8","lam1_9","lam1_10","lam1_11","lam1_12","lam1_13","lam1_14","lam0_7","lam0_8","lam0_9","lam0_10","lam0_11","lam0_12","lam0_13","lam0_14","frailty1","frailty0","rho_thres","rho_dis","sens7","sens8","sens9","sens10","sens11","sens12","sens13","sens14","spec7","spec8","spec9","spec10","spec11","spec12","spec13","spec14"
"1",0.0243053325289256,0.0119120493531552,0.0503396107924443,0.0417806205692507,0.0555952602612905,0.0643125731333496,0.140262944276124,0.161104282495872,0.18004643532929,0.160666273617147,0.199655496111651,0.161947025926221,0.15099554864916,0.135974200476047,0.219905117313135,0.191915868499395,0.710652100598695,0.0438995762229855,0.602826789227633,8.0131570620345e-06,0.89,0.87,0.83,0.8,0.75,0.7,0.6,0.51,0.73,0.78,0.82,0.85,0.87,0.89,0.91,0.93
"2",0.0126633264970134,0.0266196407780527,0.0680997323440486,0.10145821394995,0.105780843404527,0.0860882408161141,0.144686770827731,0.0590480260220591,0.171573240445872,0.17816166993724,0.1933445748892,0.214957687557959,0.218852151197477,0.207124343914416,0.229954628120467,0.216073952209344,0.492660863701949,0.100944538710092,0.50279721339369,0.109779349150165,0.91,0.88,0.82,0.74,0.66,0.6,0.52,0.49,0.74,0.78,0.82,0.86,0.89,0.91,0.93,0.95
"3",0.0784941189585863,0.0861505051935404,0.0746796650314232,0.0722932005295878,0.087365059139629,0.081446503612734,0.0693161966539173,0.0971324936626533,0.202716210603864,0.200755885561676,0.165212030774096,0.124246550981097,0.21384479452391,0.198789529381312,0.229835154286271,0.322743996170647,0.447973706766668,0.0829902645565963,0.487849674217331,0.104829755426699,0.79,0.73,0.67,0.62,0.57,0.52,0.49,0.44,0.74,0.79,0.82,0.85,0.88,0.9,0.93,0.95
"4",0.0215886187429399,0.0483340754308158,0.0561190128691501,0.0524222416841135,0.11802342203861,0.0805359548212707,0.0743628320188033,0.108470908884318,0.173258350953077,0.219745602765009,0.239073944342467,0.171803172814143,0.168538212563493,0.214542000192825,0.233772677534197,0.298339842572874,0.245201081925588,0.0912449243578043,0.399032234563306,0.145800569563152,0.93,0.88,0.83,0.79,0.7,0.64,0.59,0.53,0.71,0.78,0.83,0.86,0.88,0.91,0.93,0.95
"5",0.0734724929057428,0.0533710601589997,0.0950285388246096,0.0734589116391047,0.0964479177988383,0.0831913143531972,0.190112507633774,0.101456290981333,0.169584255217056,0.190533262594039,0.241870988310496,0.209356212975643,0.200661532954666,0.200603338884083,0.301703296601077,0.328104796651782,0.501828143220373,0.0758811614644268,0.359512536841426,0.376206228659346,0.75,0.71,0.64,0.59,0.54,0.49,0.4,0.36,0.74,0.79,0.84,0.87,0.9,0.92,0.94,0.96
"6",0.0675545904054819,0.0383900657834673,0.0695876170974287,0.0569973737784699,0.0307172640416065,0.0705396893191837,0.108620508357258,0.147122195092548,0.237535095200062,0.182854288064683,0.235238273033233,0.204372047534619,0.151764915200236,0.136796496995778,0.237088109606794,0.203635795320315,0.420734379432699,0.0678185109838641,0.362272496020184,0.149368841812293,0.88,0.85,0.79,0.74,0.72,0.67,0.6,0.51,0.73,0.78,0.83,0.86,0.89,0.9,0.92,0.94
"7",0.0265375645884703,0.0569227571464117,0.067529689713747,0.065168682791471,0.119820991974833,0.10065552955511,0.105105303209254,0.0838013636840922,0.202963829260896,0.1925729883792,0.172560405007191,0.170788283035007,0.213775973910065,0.174636543990712,0.214027051740327,0.224050392243199,0.386166210287708,0.0664619812015746,0.472015550272519,0.381893813566171,0.93,0.87,0.82,0.76,0.67,0.6,0.54,0.49,0.71,0.77,0.81,0.84,0.87,0.9,0.92,0.94
"8",0.0254223007119602,0.0355246403584295,0.0412251521533741,0.0486853251410088,0.0583705677838509,0.0606201098197068,0.128250460951973,0.106150045940729,0.198878113303545,0.161508404683104,0.172080480230687,0.146127085543107,0.195624051125477,0.176182097897919,0.225650799758878,0.266424019315938,0.746350141045856,0.0909364534203085,0.672420793244906,0.355027360741523,0.91,0.88,0.84,0.8,0.75,0.71,0.62,0.55,0.73,0.77,0.81,0.84,0.87,0.89,0.92,0.94
"9",0.0410163476999978,0.0466772810168141,0.0650500572827621,0.0562933776020617,0.120970731899367,0.0480378525752859,0.0670173742082618,0.0736604963948705,0.221431670140762,0.197042013662779,0.211498516725581,0.207683973169734,0.211552968370682,0.20112092438032,0.234967119238033,0.257359525363047,0.662152241073697,0.0884108968426797,0.277079516224721,0.198314223254583,0.9,0.86,0.8,0.76,0.66,0.63,0.59,0.55,0.73,0.78,0.83,0.86,0.89,0.91,0.93,0.95
"10",0.0467684865935957,0.0465309806124876,0.0362696817665825,0.0151806923353027,0.0115769236336025,0.0145766124462288,0.0382492254320782,0.0665924148411772,0.161298825081934,0.156967542627649,0.145994488654842,0.21096638888556,0.217843476064487,0.192696942805521,0.240225472275009,0.176160898743789,0.588664896330475,0.0629409854842466,0.756969606294086,0.423916888137759,0.86,0.82,0.79,0.78,0.77,0.76,0.73,0.68,0.72,0.76,0.8,0.84,0.87,0.9,0.92,0.94
